servicerequestnum,code,codeDescription,address,city,state,zip,createdDate,dueDate,statusDate,status,activity,outcome,updatedDate
13-00360302,RATRUBPR,SW-Rat Rubout - Proactive,2317 N LONGWOOD ST ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360293,RATRUBPR,SW-Rat Rubout - Proactive,3201  GWYNNS FALLS PKWY ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360077,RATRUBPR,SW-Rat Rubout - Proactive,1203  HAVERHILL RD ,BALTIMORE CITY,MD,21229,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360071,RATRUBPR,SW-Rat Rubout - Proactive,2649  MILES AVE ,BALTIMORE CITY,MD,21211,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360413,RATRUBPR,SW-Rat Rubout - Proactive,3112  WINDSOR AVE ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360071,RATRUBPR,SW-Rat Rubout - Proactive,2649  MILES AVE ,BALTIMORE CITY,MD,21211,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360077,RATRUBPR,SW-Rat Rubout - Proactive,1203  HAVERHILL RD ,BALTIMORE CITY,MD,21229,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360082,RATRUBPR,SW-Rat Rubout - Proactive,2606  HUNTINGDON AVE ,BALTIMORE CITY,MD,21211,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,Active Rodent Sign,05/15/2013
13-00360293,RATRUBPR,SW-Rat Rubout - Proactive,3201  GWYNNS FALLS PKWY ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360296,RATRUBPR,SW-Rat Rubout - Proactive,2301 N LONGWOOD ST ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360324,RATRUBPR,SW-Rat Rubout - Proactive,2322 N LONGWOOD ST ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360326,RATRUBPR,SW-Rat Rubout - Proactive,3012  ELGIN AVE ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360328,RATRUBPR,SW-Rat Rubout - Proactive,3013  ELGIN AVE ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00354636,HCDRODEN,HCD-Rodents,2938  CLIFTON PARK TER ,BALTIMORE CITY,MD,21213,05/15/2013 01:04:44 AM +0000,05/30/2013,05/15/2013,OPEN,,,
13-00354630,HLTHRATR,SW-Rat Rubout,915  OLDHAM ST ,BALTIMORE CITY,MD,21224,05/15/2013 01:00:36 AM +0000,05/29/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
